text,image,label,event,target,prediction,prob,score,text_score,image_score
#isis put up a pic of one of the 7 suicide bomber who did  #parisattacks a man wears sikh is  turban  amp  carries qura,attacks_paris_2.jpg,fake,32,1,1,0.9327553,"[0.06724473, 0.9327553]","[0.4654395, 0.5345605]","[0.22227338, 0.7777266]"
#isis suicide bomber wears sikh turban  amp  emami fairness cream only for he carries quran he is  a muslim  #parisattack,attacks_paris_2.jpg,fake,32,1,1,0.9353809,"[0.06461917, 0.9353809]","[0.3741382, 0.62586176]","[0.22012852, 0.77987146]"
rt  \@jamietarabay  the lights of the eiffel tower are out in honor of the victims of the  #parisattack,attacks_paris_25.jpg,fake,32,1,1,0.52190536,"[0.4780946, 0.52190536]","[0.5031546, 0.49684542]","[0.3381566, 0.66184336]"
the lights of the eiffel tower are out in honor of the victims of the  #parisattack,attacks_paris_25.jpg,fake,32,1,1,0.58434016,"[0.41565984, 0.58434016]","[0.41958752, 0.5804125]","[0.33257365, 0.66742635]"
somber scene in pari,attacks_paris_25.jpg,fake,32,1,1,0.51340747,"[0.48659256, 0.51340747]","[0.407972, 0.59202796]","[0.3354453, 0.6645547]"
this is the saddest thing i have  ever seen  keep shining bright pari,attacks_paris_25.jpg,fake,32,1,1,0.57585305,"[0.42414692, 0.57585305]","[0.48548475, 0.5145153]","[0.3354453, 0.6645547]"
so weird  so strong  to see the eiffel tower like that means a lot for me   #paris city of lights is in pain toda,attacks_paris_25.jpg,fake,32,1,1,0.55430615,"[0.44569385, 0.55430615]","[0.59972435, 0.40027565]","[0.33398622, 0.66601384]"
praying for  #pari,attacks_paris_25.jpg,fake,32,1,1,0.5505438,"[0.4494562, 0.5505438]","[0.5500782, 0.44992182]","[0.3354453, 0.6645547]"
retweeted cute animal pics   \@cuteanimalsbaby    the incredibly rare black lion  only a few of these exis,black_lion_1.jpg,fake,34,1,1,0.8474361,"[0.15256391, 0.8474361]","[0.584697, 0.41530296]","[0.089200914, 0.9107991]"
mind blowing sur twitter    the incredibly rare black lion  only a few of these exis,black_lion_1.jpg,fake,34,1,1,0.88087296,"[0.11912699, 0.88087296]","[0.5149944, 0.48500562]","[0.089200914, 0.9107991]"
rt   the incredibly rare black lion  only a few of these exist    #photograph,black_lion_1.jpg,fake,34,1,1,0.8424806,"[0.15751937, 0.8424806]","[0.530592, 0.469408]","[0.089200914, 0.9107991]"
the incredibly rare black lio,black_lion_1.jpg,fake,34,1,1,0.89540863,"[0.10459136, 0.89540863]","[0.40589967, 0.59410036]","[0.089200914, 0.9107991]"
retweeted journey earth   \@journeyearth_    the incredibly rare black lion  only a few of these exis,black_lion_1.jpg,fake,34,1,1,0.823105,"[0.17689504, 0.823105]","[0.5969524, 0.40304762]","[0.101071976, 0.898928]"
\@magnifcentearth  the incredibly rare black lion  only a few of these exis,black_lion_1.jpg,fake,34,1,1,0.80451185,"[0.19548818, 0.80451185]","[0.56175786, 0.43824214]","[0.10174929, 0.8982507]"
rt  \@natureph0t0s  the incredibly rare black lion  only a few of these exis,black_lion_1.jpg,fake,34,1,1,0.82032186,"[0.17967814, 0.82032186]","[0.51020604, 0.489794]","[0.0987637, 0.90123624]"
do you need another photo o the five headed snake   here it i,five_headed_snake_1.jpg,fake,24,1,1,0.86415935,"[0.13584067, 0.86415935]","[0.45827737, 0.5417226]","[0.30245733, 0.69754267]"
woahh     unbelievable     panch mukhi sarp five headed snake  seen in india  \@ manglor,five_headed_snake_2.jpg,fake,24,1,1,0.55673254,"[0.44326743, 0.55673254]","[0.43241, 0.56759]","[0.46221966, 0.53778034]"
five headed snak,five_headed_snake_3.jpg,fake,24,1,1,0.9015015,"[0.09849851, 0.9015015]","[0.30752838, 0.6924716]","[0.13976476, 0.8602352]"
beware and bewarned the five headed snake  a snake with five head,five_headed_snake_5.jpg,fake,24,1,1,0.77294797,"[0.22705208, 0.77294797]","[0.37382513, 0.62617487]","[0.5186919, 0.4813081]"
mahatma gandhi and queen elizabeth 2 dancing and embracing sals,gandhi_dancing_1.jpg,fake,25,1,1,0.8607867,"[0.13921331, 0.8607867]","[0.4419189, 0.5580811]","[0.14727533, 0.8527247]"
rare photo of mahatma gandhi dancing with a european lad,gandhi_dancing_1.jpg,fake,25,1,1,0.8481876,"[0.15181234, 0.8481876]","[0.50317514, 0.4968249]","[0.15453035, 0.84546965]"
mahatma gandhi dancing unseen rare photo  \@binaryfootprint   \@historyinpics   \@tarekfata,gandhi_dancing_1.jpg,fake,25,1,1,0.84264565,"[0.15735443, 0.84264565]","[0.54665333, 0.45334667]","[0.14707083, 0.8529292]"
very rare pic of mahatma gandhi n queen elizabeth dancing in a party   main karun tow saala character dheela hai  lo,gandhi_dancing_1.jpg,fake,25,1,1,0.85122,"[0.14878003, 0.85122]","[0.536312, 0.46368802]","[0.14317009, 0.8568299]"
\ @mi_puneri mahatma gandhi dancing ,gandhi_dancing_1.jpg,fake,25,1,1,0.85918146,"[0.14081849, 0.85918146]","[0.5919767, 0.40802336]","[0.14801845, 0.8519816]"
is it really rare  mahatma gandhi dancing with queen elizabet,gandhi_dancing_1.jpg,fake,25,1,1,0.9037985,"[0.096201465, 0.9037985]","[0.53109956, 0.4689004]","[0.15436131, 0.8456387]"
mahatma gandhi dhaant,gandhi_dancing_1.jpg,fake,25,1,1,0.8761415,"[0.123858474, 0.8761415]","[0.57054585, 0.42945418]","[0.14474508, 0.85525495]"
now that is  odd   rt  \@weirdhistorypix  just mahatma gandhi dancin,gandhi_dancing_1.jpg,fake,25,1,1,0.8405768,"[0.15942314, 0.8405768]","[0.5841473, 0.41585276]","[0.15303214, 0.8469679]"
